[Thu 2023-02-16 12:36:29 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'UKG', subject_id = '1', exam_date = '2022-09-26', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'UKG'and subject_id = '1'
[Thu 2023-02-16 12:36:29 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'UKG', subject_id = '2', exam_date = '2022-09-30', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'UKG'and subject_id = '2'
[Thu 2023-02-16 12:36:29 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'UKG', subject_id = '3', exam_date = '2022-09-28', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'UKG'and subject_id = '3'
[Thu 2023-02-16 12:36:37 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'NUR', subject_id = '1', exam_date = '2022-09-28', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'NUR'and subject_id = '1'
[Thu 2023-02-16 12:36:37 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'NUR', subject_id = '2', exam_date = '2022-09-26', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'NUR'and subject_id = '2'
[Thu 2023-02-16 12:36:37 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'NUR', subject_id = '3', exam_date = '2022-09-30', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'NUR'and subject_id = '3'
[Thu 2023-02-16 12:37:47 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'NUR', subject_id = '1', exam_date = '2023-03-30', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'NUR'and subject_id = '1'
[Thu 2023-02-16 12:37:47 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'NUR', subject_id = '2', exam_date = '2023-03-26', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'NUR'and subject_id = '2'
[Thu 2023-02-16 12:37:47 PM] [client 117.251.212.3] by  UPDATE admit_card SET student_class = 'NUR', subject_id = '3', exam_date = '2023-03-28', start_time = '09:00:00', end_time = '12:00:00' WHERE student_class = 'NUR'and subject_id = '3'
